Author	POD
S.R. Steinmetz	
B.J.H. Ovink	
J.E. Enklaar	Den Haag
Elie van Rijckevorsel	Rotterdam
Philippe Zilcken	Villefranche
Cyriel Buysse	Afsnee
A.W. Pulle	
Jan Veth	Amsterdam
Henri Borel	Den Haag
Joannes van der Vliet	
L. Serrurier	Jakarta
Nicolaas Dirk Doedes	Utrecht
Betsy Juta	
August Gittée	
Willem Gerard van Nouhuys	Den Haag
J.F.D. Blöte	Tilburg
anoniem Ridder metter swane	
C.H.H. Spronck	
Johannes Theodorus Petrus de Groot	Schiedam
F.V. Engelenburg	
Gerard Vissering	
H.Z. Zegers de Beijl	Sragen
Frederike J. van Uildriks	Gorssel
H.S.M. Wickevoort Crommelin	
Philippus Samuel van Ronkel	Leiden
J.H. van 't Hoff	Steglitz, bij Berlijn
A.G. van Hamel	Utrecht
H. Heukels	
G.F. Haspels	Arnhem
Willem Duflou	Elsene
C. Winkler	
Jan Marcus Hoogvliet	
C.A. Pekelharing	
H.Y. Groenewegen	
Foeke Buitenrust Hettema	Zwolle
W.L.P.A. Molengraaff	
Ida Heijermans	Amsterdam
Jacob Gerard Patijn	Den Haag
W.M. Engelberts	
H.A. Lorentz	Haarlem
H. Zwaardemaker	Utrecht
Augusta de Wit	Baarn
Hendrik Clemens Muller	Den Haag
L.J. Plemp van Duiveland	Den Haag
J. Mathijs Acket	
G. den Tex	
H. Tz. Pyttersen	
Johan Hora Adema	
Maurits Wagenvoort	Voorburg
Carel Scharten	Florence
C.A.E. Wichmann	Hamburg
Frank van der Goes	Laren
M.W.F. Treub	Den Haag
B.D. Eerdmans	Leiden
W.Ph. Scheuer	Hilversum
