Author	Harmonic	Closeness	Degree	Betweenness	In-degree	Out-degree	Eigenvector
Maurits Sabbe	2483.9857142857136	0.3056994793347583	0.020197966827180308	0.0017871467154015343	0.016853932584269662	0.003344034242910647	0.04355716222909419
Carel Scharten	2464.9357142857007	0.30381929310353395	0.03838951310861423	0.0034230875908664196	0.01431246655965757	0.02407704654895666	0.04121045184132329
Lucien Brulez	1920.5119047618268	0.24220631951803667	0.006286784376672017	1.9113784378201986e-06	0.0014713750668806848	0.004815409309791332	0.005990625068618192
Jan Flamend	1774.9952380952052	0.21996695402637748	0.018994114499732477	0.0005294775112571494	0.004280363830925628	0.014713750668806848	0.0025772513404463144
Leo Pleysier	1938.8476190475478	0.24395268341993967	0.0037453183520599247	1.2657021888989327e-05	0.0028089887640449437	0.0009363295880149812	0.002305324364771733
C. Buddingh'	2189.988095238038	0.26966906248336925	0.014579989299090422	0.0011350073226770072	0.011235955056179775	0.003344034242910647	0.009415180667479754
J.B. Manger	1900.3166666665911	0.23912275566707125	0.0029427501337613697	4.260953859296459e-05	0.0014713750668806848	0.0014713750668806848	0.0021761217953478055
R.J.C. Sijthoff	1352.893253968297	0.1727383252288827	0.004414125200642054	0.0	0.00040128410914927763	0.0040128410914927765	3.4217300215741516e-05
Saskia Tellegen-van Delft	1474.4908730158843	0.18600037226336164	0.002675227394328518	0.0	0.00040128410914927763	0.00227394328517924	0.00018920650950895055
Willemien B. de Vries	1799.7857142856867	0.22268394205339037	0.009630818619582664	7.618139402470748e-05	0.0030765115034777956	0.0065543071161048684	0.003130866968454614
Paul Catz	1652.9424603174368	0.20997848791141213	0.00026752273943285177	0.0	0.00026752273943285177	0.0	0.00036954968213165617
Anna Mertens	1797.809523809471	0.22625373913664446	0.026484751203852325	0.0016119139348049687	0.0056179775280898875	0.020866773675762437	0.0014416998575758663
B. van den Berg	2206.3642857142704	0.26448561795632913	0.11771000535045478	0.007295360219385998	0.01979668271803103	0.09791332263242375	0.026338079951972376
Derek Walcott	1484.9861111111377	0.18844121029107952	0.0005350454788657035	1.7148045234373107e-06	0.00040128410914927763	0.00013376136971642589	9.640167944904522e-05
D.H. Smit	1859.6071428570847	0.23266911057276426	0.0016051364365971105	2.0667109007068196e-06	0.001070090957731407	0.0005350454788657035	0.0020154604291008674
P.M. van der Vrecken	0.0	0.0	0.00040128410914927763	0.0	0.0	0.00040128410914927763	3.552025893195421e-97
Josette Pasquasy	0.0	0.0	0.00013376136971642589	0.0	0.0	0.00013376136971642589	3.552025893195421e-97
Frans Hulleman	1948.7380952380051	0.24545579560598058	0.0020064205457463883	1.0033305895836305e-07	0.0018726591760299624	0.00013376136971642589	0.0037608833645940997
G. Neefs	1753.7833333332999	0.21961489737119808	0.013509898341359015	7.2161773239601055e-06	0.004681647940074906	0.008828250401284108	0.015227012258808594
Antoine Braet	1730.5571428571184	0.21542008139943128	0.007891920813269128	0.00012633069237713443	0.0028089887640449437	0.005082932049224184	0.0013249577072118623
C.F. Roos	1679.9238095237822	0.21483920700084191	0.0009363295880149812	0.0	0.00040128410914927763	0.0005350454788657035	0.0003532741009328674
R. Overeem	1251.7440476190864	0.16124687078734642	0.0006688068485821295	1.2427775887548002e-06	0.00026752273943285177	0.00040128410914927763	6.727732792315853e-06
A. van Branteghem	1533.6011904761922	0.194380745546388	0.001070090957731407	4.493942724720096e-09	0.00013376136971642589	0.0009363295880149812	0.00028254051098157304
Chris Leeflang	1481.0888888888967	0.18896744143568947	0.0016051364365971105	9.55077422597659e-06	0.00040128410914927763	0.001203852327447833	7.203954536339936e-05
E.M. ten Cate	1796.7523809523188	0.22834548544216515	0.0005350454788657035	1.9382516467066244e-07	0.00040128410914927763	0.00013376136971642589	0.0008376337521890979
L. Vanderkerckhove	1651.574999999996	0.2077990024638381	0.005350454788657036	0.0	0.002140181915462814	0.003210272873194221	0.007449013689562307
Charles Nypels	2160.9690476189894	0.26830687559450106	0.0040128410914927765	0.00013150148847416326	0.0037453183520599247	0.00026752273943285177	0.009335636537566446
E.H. Toxopeus	1983.7309523808508	0.24799427112658057	0.005885500267522739	1.704106567368384e-06	0.0028089887640449437	0.0030765115034777956	0.005973363083697692
Hélène Swarth	2552.352380952389	0.3128830685691892	0.022204387372926696	3.099299892781439e-05	0.02180310326377742	0.00040128410914927763	0.04484493143661356
