Author	DOD
M.C. Piepers	1919
A. Elink Sterk jr.	31 mei 1875
J.A.F.L. van Heeckeren	9 augustus 1887
Pieter de Jong	25 januari 1890
F.H. Boogaard	29 oktober 1918
Marie Henriëtte Koorders-Boeke	7 november 1887
Willem Hendrik de Beaufort	2 april 1918
Willem Degenhardt	8 januari 1902
Johan Hendrik Gallée	3 februari 1908
Margaretha Wijnanda Maclaine Pont	21 februari 1928
Samuel Muller Fzn.	1922
Carel van Nievelt	2 augustus 1913
C.M. Vos	27 oktober 1878
Petrus Conradi	?
Johan Drabbe	1 augustus 1916
W.B.G. Molkenboer	1915
Willem Pleyte	11 maart 1903
Cornelis Stoffel	22 oktober 1908
F.J. Haver Droeze	9 januari (begraven) 1909
Hugo de Vries	21 mei 1935
Adrianus Dirk de Vries	
A.C. Joosten	1901
Adrianus Daniel de Vries	8 februari 1884
A.C. Vreede	20 augustus 1908
Henricus Anastasius Viotta	18 februari 1933
L.A.J.W. baron Sloet van de Beele	10 december 1890
Th.W. Engelmann	20 mei 1909
A.H.G.P. van den Es	7 september 1909
I.D. Franssen van de Putte	3 maart 1902
Jacobus Craandijk	3 juni 1912
J.J. van Toorenenbergen	12 december 1903
J.J. Meinsma	15 september 1886
Johan baron d' Aulnis de Bourouill	5 september 1930
J. van Loenen Martinet	26 november 1918
Jacob Léon Wertheim	16 augustus 1882
Johannes de Koo	10 mei 1909
A.A.W. Hubrecht	1915
J. Winkler Prins	25 november 1904
J.G. Frederiks	5 mei 1896
R.M. van Goens	25 juli 1810
Jacob Hendrik Hora Siccama	1914
D.C. Meijer	21 augustus 1908
V.A. Julius	1 mei 1902
J. Aleida Nijland	1950
Jacob Adolf Bruno Wiselius	1888
Anthonie Marius Kollewijn	7 maart 1920
E.O. Houtsma	
C. Terburch	10 juni 1920
Jean Charles Naber	14 februari 1950
J.C. Costerus	31 juli 1938
G. Kalff	31 augustus 1923
G. de Bosch Kemper	29 december 1912
Emile Habets	
Daniël de Lange	30 januari 1918
Maurits Smit	?
T.H.F. van Riemsdijk	1923
Nicolaas de Roever	11 maart 1893
F.P. ter Meulen	
A.L. de Rop	3 mei 1895
C. Honigh	4 april 1896
A.C. Waller	1912
[tijdschrift] Vaderlandsche Letteroefeningen	
H.E. Beunke	11 februari 1925
Jan de Louter	1932
H.G. Roodhuyzen	
Melchior Treub	3 oktober 1910
L.R. Koolemans Beynen	11 november 1879
Anth. Grolman	22 januari 1926
G.E. Langemeijer	1990
P. Mathijsz.	16de eeuw
K.W. van Gorkom	1910
Albert Jan ten Brink	22 oktober 1917
Frederik van Hogendorp	25 september 1889
H.L. Berckenhoff	1918
T.M. Tromp	10 oktober 1891
H.U. Meyboom	7 juli 1933
Henri Raloff	1920
A.L.W. Seyffardt	10 november 1909
M. van Andelst	16de eeuw
J.C.M. van Riemsdijk	1954
J.J.L. ten Kate	26 december 1889
Anton Gerard van Hamel	15 april 1907
Robert Macalester Loup	
Anne Busken Huet-van der Tholl	19 juli 1898
Jacob de Witt	10 januari 1674
Johannes Reitsma A.Tzn.	23 februari 1902
Gerrit de Vries	4 maart 1900
A.S.C. Wallis	27 december 1925
