Author	DOD
G.M. Mesland	2002
E. Cramer-Peeters	
J.J.M. Westenbroek	19 juli 2012
Hans van Dijk	
Fr. Daems	
Maurits Gysseling	24 november 1997
H.W.J. Vekeman	1 februari 2013
P.L.M. Tummers	1979
B. Rademaker-Helfferich	
Arnold Evers	
M.J.M. de Haan	
Harry Scholten	1987
Pim de Vroomen	
R. Hamburger	
J.M.F. Stalpers	
Bert Hofman	9 mei 2019
René Jongen	
Fons van Buuren	
H.H. Grünhagen	
T. Hagtingius	
H.M. Eliassen-de Kat	11 april 1981
R. Eeckhout	
Jacobus Koelman	6 februari 1695
A.W. ter Horst	
Gysbert Koelstra	1971
C.M. Verkroost	
Coen Bersma	
Anton Roothaert	29 maart 1967
G. Scherps	
J.A. van Leuvensteijn	
P.K. Niekerk	
Eep Francken	
J. Taeldeman	31 oktober 2017
Piet Kralt	
W.J.M. van Calcar	
Bert van Selm	17 april 1991
G.J.P. van Hoek	
C.B.M. Wingen	
W.A. Wijnands	
K.R. de Graaf	20 maart 1982
Herman Wekker	1997
Jan Gijsel	
Ph. van de Nieuwegiessen	
Dick Springorum	
Ruud A.J. Kraaijeveld	
G.J. Dorleijn	
A.A. Keersmaekers	28 september 2009
G. De Schutter	
P. van der Woude	
J.F. Geerds	
Evert de Jong	
Nigel F. Palmer	
P. Lammens-Pikhaus	
Wil Sterenborg	15 mei 2019
N. van der Blom	27 november 2006
J.A. Verschoor	2000
Reinhilde Haest	
D.H. Lammers	
M.F. Steehouder	
G. Gunneweg	
Leonard Forster	18 april 1997
Petrus de Jong	
P. van Overbeeke	
Edward Al. Th. Stam	
Seymour L. Flaxman	
P.W.J.L. Gerretsen	
Domien ten Berge	
Marie-José Desmet-Goethals	
D. Gil-Günzburger	
W.M.H. Hummelen	
S.A.J. van Faassen	
C.S.M. Rademaker	
Leo van Maris	
Th.H. van Doorn	
Bert van den Broeck	1989
Frederik Jacobus Brevet	25 januari 1983
H.J. de Roy van Zuydewijn	
Ton Goeman	
J. de Gier	
H.J.A. Bolscher	
N.C. van Velzen	
C. Gussenhoven	
Evert van den Berg	
Alfred M.M. Dekker	
R. Blok	
Dirk Coigneau	
Hans den Haan	
A.A. Monden	
Willemien B. de Vries	8 augustus 2014
H.Chr. van Bemmel	
Johan van der Auwera	
G.A. Bredero	23 augustus 1618
Nicolaas Jansz. van Wassenaar	1629
Guido de Baere	
R. Jansen-Sieben	
Elie Nieuwborg	19 mei 2013
C. Rooker	
Roland Willemyns	
Odo Leys	
Jos A.A.M. Biemans	
A.H. Touber	
Henry Hargreaves	
J.C. van Aart	
J.C. Trimp	
Stanislaw Predota	
A.G.M. Vermeulen	
Hanna Stouten	
J.C. Prins s'Jacob	
J. Kreuzen	
W. Waterschoot	
Henk Meter	
Hubert Meeus	
Oskar Wellens	
Roger Gilis	
E.W.F. van den Elzen	20 september 2003
F.R. Gilfillan	
W.A.A.M. Merlijn	
L.E. Wirth-van Wijk	
Gerard Verhoeven	
Jos Houtsma	
Henk Koeman	
R.W.W.M. van der Drift	
J. de Merica	1554
J.H. Winkelman	
Tom Hage	
Ton Vallen	
Joke van der Wiel	
C.J.M. Jansen	
Annemarie Kets	
Dirk Geirnaert	
L. Boves	
W. Fagel	
L. van Herpt	
F.J. Lodder	
Robert Hennebo	29 juni ca. 1737
Gerrit van Olivier	6/7 september 1827
J. A. Le Loux-Schuringa	
P.N.G. Pesch	
Jos Versteegen	
Robert Jan van der Drift	
Jacobus Jansonius	30 juli 1625
Didier L. Goyvaerts	
Aafje Gijsen	
Marlies Philippa	
Lucie Huiskens	
Jan Nuyts	
Bart Besamusca	
Irene Spijker	
P. van Hees	
Paul Brondeel	1 maart 2009
G.P. van der Stroom	
Egon Berendsen	
T.M. Verhage-van den Berg	
Astrid Joosse	
Marijke Friesendorp	
Jan Siemons	
Gerben Wynia	
Eveline Buchheim	
Anneke de Lange	
Johan Verhoeven	
Marjan Birkenhäger	
Baukje van Dam-Heringa	
Hans Heinrich Meier	
Hans Kienhorst	
F.J.A. Jagtenberg	
Frits Beukema	
Thijs Pollmann	
Jip Wester	
Roger Henrard	
G.J. Vroeijenstijn	
Wilbert Spooren	
Gunilla Dalberg	
G. Gerritsen-Geywitz	
Renaat J.G.A.A. Gaspar	
W.C.E. Koksma-ten Cate	
Sytske Sötemann	
Pieter Nieuwint	
Ans van Kemenade	
J.H. Reitz	20 november 1720
L.M.G. Cremers	
J.H. de Ridder	
Marysa Demoor	
Eberhard Nehlsen	
Maaike Hogenhout-Mulder	
Tini Booij	30 april 2005
J. Reynaert	
F.A.M. Riem Vis	
Anja van Leusden	
Fieny Pijls	
Frank van den Dungen	
Wilbert Smulders	
Jan Nijen Twilhaar	
G. van Eemeren	
Rik Smits	
C. van Coll	
F. Stuurman	
Dieuwke E. van der Poel	
Fabian R.W. Stolk	
W.F.G. Breekveldt	1990
J.P. Westgeest	
T.H.J. Broekmans	
A.H.M. de Graaf	
Els den Os	
Rita Harder	
Paulien Smabers	
Helen de Hoop	
Tineke ter Meer	
J.Ph. van Oostrom	
Annejoke Smids	
Frank Brandsma	
Elly van Gelderen	
Jeanette Koekman	
G.C. de Vries	
A.E. Jacobs	
C.J. van Veen	
Lia van Gemert	
Meinardus Siderius Wal	7 januari 1875
P.P. Schmidt	
M. Everaert	
Clara Strijbosch	
Jan de Roder	
Mieke B. Smits-Veldt	
Ad Leerintveld	
T.-M. Nischik	
Rudi Hendrickx	
Johan Rooryck	
Jan Konst	
Philippe Hiligsmann	
Olf Praamstra	
Jacqueline Frijn	
Wim de Haas	
Theodoor Rodenburg	oktober 1644
Jan Don	
Marijke Spies	12 mei 2013
Lisan van Beurden	
Johan Th. Veenhof	
Car Flanders	
István Bejczy	
P.R.F. Verhoeven	
Jan Willem Klein	
M.G.M. Elling	
Frank van Lamoen	
Marcel Bax	
Geert Warnar	
H.W.A. Nap	
Gert-Jan Johannes	
Theo Meder	
Jan Oegema	
Freddy Puts	
Wolfgang Herrlitz	
Mieke van Dalen	
Leo Jansen	
Jacqueline Hulst	
Orlanda S.H. Lie	
Ton van Strien	
Elisabeth Paling Funk	
Eric Hoekstra	
Louis Herreboudt	1874
Ton van der Wouden	
H. Bonset	
Jan Kuys	
Freddy van Besien	28 januari 2011
Josien Brink-Hendriks	
Luuk Lagerwerf	
P.G. de Bruijn	
Jacqueline de Man	
Michiel Leezenberg	
Marjolein Hogenbirk	
Thom Mertens	
Petra Hendriks	
Mark Kas	
Liesbeth Laport	
Renée van Bezooijen	
Goudina van Weert	13 oktober (begraven) 1679
Bernadette Smelik	
Annelies van Gijsen	
Erwin Mantingh	
Elisabeth Kappner	
Pyter Wagenaar	
René van Stipriaan	
Olga van Marion	
J.J.V.M. de Vet	
Korrie Korevaart	
Norbert Corver	
Enny de Bruijn	
Emmeken van der Heijden	
Jozien Moerbeek	
Dominique de Vet	
Ben Peperkamp	18 november 2017
Erica van Boven	
Louis Cornelis	
P.J.A. Franssen	
Andrzej Dabrówka	
W.R.D. van Oostrum	23 oktober 2011
V.E. de Gruiter	18 maart 1996
Bertram Mourits	
Nelleke Moser	
Louis Peter Grijp	9 januari 2016
Ruth Beijert	
H.F. van de Velde	
Hans Broekhuis	
Dorthe Schipperheijn	
Bernard Shaw	2 november 1950
J. Haesaert	
Gerard van Elden	1975
Eugenie Boeye	3 december 1983
Karl Renner	31 december 1950
Tonny van der Horst	6 september 2005
C. Heymans	18 juli 1968
Louis de Groof	1996
Jos Coveliers	1981
Frank de Langhe	
Richard Declerck	12 maart 1986
J.F. Willems	24 juni 1846
Julien de Valckenaere	22 mei 1958
Hugo Walschap	
Guillaume Apollinaire	9 november 1918
D.J. Opperman	1985
Theo Goffa	
Frank Gerdels	1987
Frans Smekens	1977
Henk van Otterloo	
Louis Paul Boon	10 mei 1979
Frank Craeybeckx	26 februari 1943
Piet Heus	
R. Miry	
Joris Blondiau	
Peter van der Wildt	
Eva Vlame	
Herwig Hensen	24 mei 1989
Josee van Dirickx	
Hendrik Brehmen	
A. van Bladel	
Marcel Demeulenaere	
Josephus Hendrikus Cornelis Creyghton	19 april 1975
M. Kapteyn	
N.P. van Wyk Louw	18 juni 1970
Lucien Brulez	19 september 1982
Jan Bosquet	13 februari 1978
Rolande	
Pliet van Lishout	11 april 1982
Marc Moonen	
Valère Coopmans	
Gerard van der Kuyp	
Erik Thys	
Clare Lennart	30 december 1972
Guy Voets	
Henri Bossaert	
Joseph Leliard	
Julius Valckenaere	5 juni 1930
Constance Teichmann	14 december 1896
Jozef Cantré	29 augustus 1957
Jan Verley	18de eeuw
Rogier Marijnissen	
Hugo Brutin	
Fjodor Sologoeb	5 december 1927
Ankie Peypers	24 oktober 2008
V.I. Lenin	21 januari 1924
P.M. van der Vrecken	25 maart 1868
Jef Geeraerts	mei 2015
[tijdschrift] Nieuw Vlaams Tijdschrift	
Jean-Marie Maes	
Tymen Trolsky	
Raymond Vervliet	
Rob Bartels	
Johannes de Bruyn	1753
Serge Govaert	
Gertrude Stein	1946
Michel Leclerc	
Luc Pierre Maes	
Philippe Cailliau	
J. Uyttendaele	
Marc Bruynseraede	
Stephen Crane	5 juni 1900
Rudy de Rybel	
Jaak van Schoor	
Hubert	
Jan Vanriet	
Wim de Poorter	
Jana Beranová	
Mischa de Vreede	
Eleonore Vigenon	2008
Mark Verstockt	2014
André Lefevere	1996
Dominique Mys	
Daniël van Hecke	
Konstantínos Kaváfis	29 april 1933
Eric Rinckhout	
Gérard de Nerval	
Franc Schuerewegen	
Hugo von Hofmannsthal	15 juli 1929
Luk De Vos	
Hans Turken	
Lidy van Eijsselsteijn	24 oktober 1986
Anna Mertens	
Anna de Noailles	30 april 1933
Andries Dongera	
Dieuw Schepel	1992
Dingeman van der Stoep	28 augustus 1997
J.A. Risseeuw	
Inge Lievaart	15 oktober 2012
Hans Barendregt	2001
D.I. Bouman-Eringa	
M. 't Hooft	
Jacoba M. Vreugdenhil	1971
Arjen Miedema	1985
P. Eringa	
[tijdschrift] Ontmoeting	
H. Mulder	
Neels Everards	
Jo van Dorp-Ypma	19 februari 1986
Jan Dolfering	
Cor Alons	
M. Siesling	
C. Ouboter	1985
J.C. Schuller	
Peter v.d. Braken	
Wilma	20 maart 1967
Anthonie Stolk	1996
L.H. Stronkhorst	
Jaap Das	2005
P.A. Hekstra	
W.G. Scheeres	
Johan West	
C.J. Nobel	
Gerda Meylink	
Henk Krijger	1979
Jo Kalmijn-Spierenburg	1991
H.J. van Boekhoven	
H.H. Wilmink	
Gera Kraan-van den Burg	15 november 1973
Agni van der Torre	
S.J. Popma	1988
Rie Bauer	
G.E. Woneman	
A. Wapenaar	1967
Willem M. Kruseman	
P.O. Eet	
G.R. v.d. Beek	
Johan van Hulzen	19 maart 1965
K.J. Popma	1986
P.B. van Dalfsen	
M.A. Rijnsburger	
Gerrit Mulder	20 december 1961
Jacob de Graaf	1962
Margreeth Woltjes	
Mischa S. van den Bosch	
Frans Leonard	
Jan D. Stipes	
S.P. Akkerman	
B. Folkertsma	
A. Middelhoek	
A.H. Peters	
J. Veerman	
Else Wichers	
Frieda van Felden	
Diet Kramer	21 augustus 1965
Aart Romijn	1996
Walter Raleigh	29 oktober 1618
Jac. Kort	
Niek van der Heide	
J.W. Bonda	
Feitse Boerwinkel	6 mei 1987
D. Hendrikse	
Tjalling	
M.G.J. Teerink	
Arthur Hugh Clough	13 november 1861
Louise Imogen Guiney	2 november 1920
Huib A.P. Eijkelenboom	1991
Do van der Sloot	
Ralph Degens	
J.H. van der Starre	
W. Ruiten	
Jan G. van Straaten	
Okke Jager	26 januari 1992
H. Boekenogen	
J.G. Rikkert	
G. Boogaard	
John Henry uit den Bogaard	26 mei 1993
Charles Marie René Leconte de Lisle	18 juli 1894
Franz Werfel	26 augustus 1945
H-K. Mulder	
Ab van Eijk	
A.M. Spanjer	
Willem Mudde	
Félix Lope de Vega	1635
P.B. Shelley	8 juli 1822
W.J. Schulte Nordholt	
B. Nijenhuis	1972
Etus Alons-Bernhardt	
Endre Ady	27 januari 1919
N.H. Merkelijn	
G.E. Mulder	
Aize de Visser	
J. Overduin	
John Donne	31 maart 1631
Lien Fokker	
M.H. Rijnsburger	
Aad Hollebeek	
A.J. Rijnsburger	
Herman Steggerda	
Jan Das	
Arie Nelemaat	
M. Monsinga	
Nora Petit	
Constant Labruyère	
Jan Rijnsdorp	
Gré van der Laan	
Marinus A. den Braber	
H. Ravestein	
Gerard van Hulst	
Ev. Grolle	
G.K. van Dongen	
Jac. Lelsz	
A. Mertens	
D. Kilinow	
A. Sterveen	
Harro Storm	
J.W. Veerman	
J. Kramer-Vreugdenhil	
N. Sterveen	
Frank Daen	8 december 2007
Francine Schregel-Onstein	6 maart 2013
Marius Goedhart	
Gert Overduin	
Jacques Reugebrink	
Jan Stolk	
Johanna de Geus	
M. Beinema	
Fred van Viet	
Ger Bendels	
Freek de Leeuw	
Dirk van der Ploeg	
F. Springer	7 november 2011
Henk Kooijman	1988
Stuart B. Jackman	
Adriaan Donker	19 augustus 1986
H. de Jongste	
Elsa Sophia von Kamphoevener	27 juli 1963
M.C. v.d. Panne	
Daan Mondgaas	
Günter Eich	20 december 1972
Yvan Goll	27 februari 1950
Hans Arup	
C yrus Ataban	
Walter Toman	
Peter Berghe	
Fred. van Zutphen	
G. van Heerde	14 mei (begraven) 1879
Arie Vermeer	
Luitzen Visser	
Ineke Sikkema	
Jan Verhoef	
Dick Steenkamp	1980
Jarry Duclay	
Luc von Seller	
Ubbo-Derk Hakholt	4 augustus 2005
Jan van Biezen	
N.H. Ridderbos	1981
Durk van der Ploeg	
Nico Rigter	
Bill Kroekow	
J.G. van der Veen	
Lode Bisschop	8 januari 2003
Frederice Kalmijn	
Jean Brüll	
Wim Pendrecht	
L. Schultz	
Heppe de Moor	
Wim Brinkman	
Jan Sleeboom	1963
Eric Marloux	
Theo van Roon	
Marianne Colijn	1998
G. Burger	
P. Ruysch van Dugteren	
Elisabeth Wolters	
Hans de Boer	
Anneke Geluk	
L. de Liefde	
Jaap Zijlstra	22 december 2015
Govert A. den Hartogh	
Gert Slings	
William Wordsworth	1850
Jan ter Horst	
Tom Naastepad	26 maart 1996
Johan Schooneberg	
Bert Jansma	
Rob Scherjon	
Anton B. Lam	1970
Tom Etty	
S.H. Haan	
Frans van der Linde	
Gerd Segers	
Jan C. Brouwer	
R.G.K. Kraan	18 september 2014
Marijke Baars	
W.N. Visserman	
Murk A. J. Popma	
Cees van Dop	
Nelleke Groenewegen	
Dick Zaal	
Jan J. Abels	
Mei Hwa Tan	
Kees Ouboter	
Jan van Royen	
John Keats	23 februari 1821
Marie-Sophie Nathusius	23 januari 2002
Jan D. 't Lam	
Sifra Hugorina	
Jan Donia	
Paul Wessel	
Wim Bazuynen	
Hans Dullaart	
Eric Heidbuchel	
Hans Bouma	
Anno van Workum	
Jan Sizoo	
Frans Vanderlinde	
Maja Burghout	
Teije Brattinga	
Roel van Heerde	
Jo Datema	
William Blake	12 augustus 1827
William Butler Yeats	1939
G. Tuil	
Arnold van Dijk	
A. de Kool	
P. van Amstel	
Albert Nap	
J.F.M.J. Jansen	
D.J. Sikkens	
A.J. van Dulst	
Peter van Amstel	
Pierre de Ronsard	28 december 1585
Philippe Desportes	1606
Alexander West	
Frederice van Faassen	
Bert Verm	
Emiel Willekens	16 augustus 2009
J. Noë	1982
Cola Minis	1988
D. Geeraerts	
Karel Deleu	
Willem van Eeghem	3 oktober 1974
Lucie Roobrouck	
Willem de Jong	24 januari 1875
Felisberto Hérnandez	1964
Johann Damiaan Degreef	1966
Maria-Augusta Jacobs	
J. Donkers	
Gilbert De Smet	
Carlos Tindemans	
Lieve Scheer	
H. Vandermoere	31 oktober 2009
Nico de Vrede	
Piet Thomas	
I. Demarre	
E. van der Heijden	23 april 2003
Colijn Caillieu	1484?
Herman Servotte	24 januari 2004
A. van Branteghem	
Prosper Arents	4 maart 1984
F.H.M. Hertoghs	
W.A.F. Janssen	24 februari 1965
Koen Wauters	
P.H. King	
Jan Persyn	26 januari 2001
G. van Gorp	31 januari 1850
Bert Kooijman	
D. Kuijper Fzn.	26 september 1988
Jef Barthels	
P.S.N. Oost	
Louis Gillet	
P.Th. Elsinga	
Gust Faes	
J. Goffard	
Louis Dieltjens	
L. Macken	
C.L. Hap	
Hugo De Schampheleire	
F. Steyaert	
Michel Dupuis	
Jan de Piere	
Jan Schoolmeesters	
Amand Berteloot	
Joannes Smeyers	15 augustus ca. 1580
Rolf Italiaander	3 september 1991
Jozef D. Janssens	
M.S.J. Cox-Andrau	
Lieven D' Hulst	
Paul Gillaerts	
Dorian Cumps	
Luc Libaut	
Paul Schampaert	
Ingrid van de Wijer	
J. Huyghebaert	
Pascal Tasiaux	
Karel Hellemans	
J. Delsing	
Gisleine Peeters	
Arie Zevenhuijzen	
Viviane Geuffens	
Martha Gerlo	
N. Rowan	
Ludo Verbeeck	
Marc Van Vaeck	
Luc Dirikx	
Piet de Keyser	
Theo Coun	
Robert Vandeputte	18 november 1997
Jos. Deckers	
R. van Ooteghem	
K. du Bois de Vroylande	
R. Verschroeven	
C. de Bievre	
R. Goris	
J. Hoet	
Gaston Van Bulck	1966
J. Verelst	
K. van Baarle	
A. Wuyts	
Juliaan Vervoort	
Albert Van den Daele	27 februari 1978
M. Dufraing	
Ad. Jansen	
Alb. Raignier	
Alex Harlssen	
A.J. Michielsen	
Peeters	
M.F. Schurmans	17 februari 1989
Louis H.M. Monden	2002
J. De Munter	
H. Robbers	7 november 1970
Jan van Gorp	1953
A. Dockx	
F. Beyers	
J.M. Eylenbosch	
J. Christelbach	
J. Donceel	
L. Verhaegen	
E. Verstraelen	
Fernand Van Goethem	9 januari 1974
J. Nolf	
A. De Raedt	
H. Bruders	
L. Elaut	2 april 1978
E.J. Vandenbussche	
W. Matthijs	
J.A. van Houtte	20 december 2002
Angelo Brucculeri	
H. Thielemans	
K.M. Houtaar	
J. Valk	
Maria Gerarda	
A. Seeldraeyers	
Alb. Block	
P. Lassalle	
J. van Heugten	31 januari 1963
August Brunner	11 april 1985
Emiel van Coppenolle	
W. Arts	
Hub. Gesp	
P. Nelis	
H.F. Koster	
G. De Wolf	
F. Schröder	
Maurice Claeys Bouuaert	
A. Snoeck	
V. Uyttenbroeck	
R. Dellaert	1979
J.I. Corrigan	
B. De Wint	
C. Dumortier	
P. Indekeu	
G. Geniets	
F. Bouchout	
E.A. Ryan	
A. Grootjans	
A. Antonissen	
Jan Jozef van Laer	
Arthur Van Hoof	
L.G. Polspoel	
W. De Roy	
A. Seeldrayers	
Marcel van Caster	
Reinhold Van Lennep	
R. Caron	
A. Darquennes	1 augustus 1959
L. Verelst	
A. de Guchteneere	
J. Volckaert	
L. Vander Kerken	1998
P. de Bruin	
Yves de La Brière	20ste eeuw
Hugo Vandeperre	
E. de Strycker	
L. Rood	
Constantinus	1970
M. van Stratum	
L. De Sousberghe	2006
J.B. Poukens	1962
W. Cracco	
Arthur Thomas	
A. Blok	
J. De Jaegher	
H. Geerts	
L. Moreels	
Crispinus Smits	1970
C. Kock	
de Caigny	
R. van Lennep	1546
J.E. Schulte	20ste eeuw
Jozef Mertens	2007
J. Theyskens	
Otto Forst de Battaglia	
Philippe Joseph Aimé van Isacker	11 maart 1951
P. Ellerbeek	
Alb. Hernould	
W. van Dingenen	
Clemens Maria Beukers	
Michiel Dierickx	21 februari 1967
Hubert Peeters	
M. Schurmans	1970
C. Schöller	
Maurice De Tollenaere	
Rianne Jansen	
W. Talloen	
R. Leijs	
E. Cappoen	
Albert Deblaere	1994
Karel van Isacker	25 augustus 2010
Walter F. Smet	
Albert Dondeyne	12 februari 1985
Diotimos	
J. Bogaerts	
B. Spaapen	1977
E. De Cooman	
J. Smets	
Fr. van Baarle	
M. van den Daele	
Marcel Janssen	1 november 1963
G. Neefs	
Pieter Frans Fransen	1983
Karel de Winter	18 juni 1953
C.D.C. Leuven	
J. De Fraine	
A. Taymans	
Louis Sourie	22 augustus 1962
Marc Dykmans	
Em. Peeters	
Jozef Marechal	22 augustus 1993
Marcel Duchateau	1996
L. Baudez	
A. Poncelet	
L. Vanderkerckhove	
H. Walgrave	
Emiel van der Donck	1985
H. Peeters	
Paul De Vuyst	
J. Köhlbrugge	
Louis Sterkens	
Joseph van der Meersch	14 juni 1952
J.M.L. Demeyere	
L. van der Bossche	
W. Luyten	
J. Cuypers	
Albert Kluyskens	21 december 1956
Wilfried Luyten	
Albert Boone	22 juli 2007
J. van Torre	
F. Callebaut	
R. D'hondt	
P. Goedertier	
Antoon Fimmers	
G. Van Cutsem	
Jos. Burvenich	18 april 2002
J. Rommens	
Jan Olav Smit	1972
L. van Hulle	
J.W. Ludwig	
Max de Cock	
Werenfried van Straaten	2003
Hippoliet Meert	20 november 1924
C.H. Peeters	1951
Henricus de Blieck	1945
Fil. de Ridder	1994
Jef de Beus	
Leo Lindemans	
René Carpentier	
J. Verwimp	
Arthur Janssen	1979
Andreas Nicolaas Metz	
Stanislas van de Velde	
't Haakstertje	
J. Talloen	
Leo Symoens	
Jan de Roeck	
M.C. Arnemann	
K. Leus	
Louis Bruyns	8 maart 2001
I. De la Potterie	2003
Nabor Devolder	30 november 1967
A. Verbist	
Jos Windey	
A. Meeus	
Jean Masson	januari 1750
M. Deckers	
D. Merlevede	januari 2014
J. Nuttin	23 december 1988
L.P. van den Bergh	
H.L. van Breda	
Louis van Haecht	19 april 1985
M. de Brabandere	
P.W. Smet	
M. Mesotten	
G. Homble	
Jos Philippen	1996
C. Pickery	
G. Huyghe	
Alex. De Bil	
Fr. Maeyens	
P. Ronse	
Fl. Bertiau	
W. de Weerdt	
Jozef Andriessen	23 augustus 2007
Leo De Wachter	2001
A. Smits	2005
K.C. Peeters	1975
Aimé de Cort	8 maart 1943
Jan de Schuyter	9 mei 1952
Alfred Scheers	
L. Victor V. Edmond	
H.M.H.A. van der Valk	
R. Vanalderweireldt	
Rika De Backer-Van Ocken	2002
J. Lebeer	
G. Garmijn	
Valentinus Morel	
Gaston Eyskens	3 januari 1988
F.X. van der Straten-Waillet	1998
Paul Maria Jozef de Meester	
Monique Darge	
H. Bauweraerts	
J. Van den Bossche	
Alb. Decoene	9 november 1958
Pierre de Beus	
Tony Herbert	3 oktober 1959
Richard Teunissen	
Louis Wachters	1996
M. Oris	
Juliaan Haest	19 december 1984
Léon	24 september 1947
Florimond Lox	
Francis van den Broeck	
Antoinette Buckinx-Luykx	1983
Hendrik van Tichelen	18 november 1967
Robert Kothen	1956
Jacques E. Mertens	
L. Mestdagh	27 mei 2007
A. Frenay	
K. Lens	
F. Martens	
A. de Meyer	
Jacques Tremblay	
Achilles Seghers	
L. de Borman	
J.A.F. Wils	1975
Gaston de Jaegher	
J.-P. Fransen	
J. van Wing	
J. Beyer	
F. de Cleyn	
A. van den Meersschaut	
Walter Couvreur	1996
Silvain Douven	
J. Masson	
Clément Mertens	
Ch. Indekeu	
J. Elens	
John Murray	8 mei 1975
Philippine vande Putte	
G. Gilleman	
R. Ghijsel	
Jérôme Parmentier	23 december 1956
Ulpianus Lopez	
A. Cauwe	
J. Declercq	4 december 1981
H. van Straelen	2004
R. Windey	
G. Dooreman	
M. Huybens	
J.G.M. Willebrands	2006
V. de Meyer	
R. Pulinckx	
Herman van Overbeke	18 juni 1957
K. Heireman	
Louis Dumoulin	
Wilhelm de Vries	25 juni 1997
Raymond Jouve	
H. de Clercq	
Robert Druwé	
Oger H. Bourdeaud'huy	
Augustijn Lodewyckx	4 september 1964
A. Boone	
V. Mertens	
Paul André	1 april 1993
J. Boers	
M. Duerinck	
G. Van Massenhove	
Cornelis van der Vijver	16 februari 1855
A. van de Walle	22 mei 1891
Pierre-Henri Simon	1972
G. de Vocht	
O. van de Vijver	
André Vandenbunder	
Marcel Cordemans	28 oktober 1991
G. Boss	
André Vlerick	3 december 1990
A. De Geyter	
J. Hoing	
Flor Kielbaey	
Hendrik Imberechts	3 februari 2012
H. Aerts	
Henk Kuitenbrouwer	3 augustus 1974
Marnix Gijsen	29 september 1984
Sybold van Ravesteyn	23 november 1983
Anton van Duinkerken	27 juli 1968
N.A. Donkersloot	26 december 1965
A. Viruly	1986
A.J.D. van Oosten	23 januari 1969
Martinus Nijhoff	26 januari 1953
J.A. van Lieshout	1944
Johan Winkler	27 september 1986
André Demedts	4 november 1992
Maurice Gilliams	18 oktober 1982
Bernard Delfgaauw	20 augustus 1993
Victor E. van Vriesland	29 oktober 1974
Karel Meeuwesse	24 juni 1991
J.J. Belinfante	2 december 1882
Jacques Clement Perk	?
Aug. Philips	?
Nicolas Charles Sieburgh	?
Allard Pierson	27 mei 1896
Hieronymus van Alphen	16 juni 1876
Pieter Rutger Feith	28 februari 1909
Pieter Lodewijk Muller	25 december 1904
J.M. van Bemmelen	13 maart 1911
Henrick Witte	?
M.C. Tideman	1904
S.J. Fockema Andreae	6 december 1968
Sybrandus Johannes Fockema Andreae	17 januari 1921
J.D. van der Waals	8 maart 1923
Martinus Poelhekke	1925
Jan Greshoff	19 maart 1971
J.A.N. Knuttel	5 februari 1965
C. van Vollenhoven	28 april 1933
Karel van de Woestijne	24 augustus 1929
M.H. van Campen	14 september 1942
C. Kramer	1955
Jan J. Zeldenthuis	?
G.P. Frets	13 december 1957
H.J. Kiewiet de Jonge	13 april 1935
Hendrik Cramer	17 december 1944
E.J. Dijksterhuis	18 mei 1965
P. Verdoes	?
A.A. van Schelven	1900
Th.J.G. Locher	29 september 1970
Emmy van Lokhorst	26/27 mei 1970
P.J. Idenburg	27 december 1989
Raymond Brulez	17 augustus 1972
Elisabeth du Perron-de Roos	1981
C.J. de Vogel	1986
Anton van der Boom	9 juli 1960
G.G. Kloeke	5 november 1963
A.N. Molenaar	21 november 1958
Gerard Walschap	25 oktober 1989
