Author	POB
Matthias de Vries	Haarlem
Louis Trenard	Port-Vendre
Gerard Slothouwer	
Charles François van Duyl	Zierikzee
Emile Seipgens	Roermond
Th. Swart Abrahamsz	
Willem A. Hecker	Groningen
Willem Jacob Manssen	Kampen
J.H. Kips	Den Haag
George Alexander Wilken	Menado
N.J. Singels	Leeuwarden
Samuel Muller	Krefeld
Herman Frederik Carel ten Kate	Amsterdam
Pieter Nicolaas van Kampen	Leiden
A. Kluijver	Koog a/d Zaan
Frits Lapidoth	Ursem
Jan F. Beekman	
J.H. van den Bosch	Zwolle
J. Menno Huizinga	
J.J.A.A. Frantzen	
J.E. Sachse	
H. Was	
H.J. Polak	Leiden
Marcellus Emants	Voorburg
W. Jaeger	
C.A. Steger	Den Haag
J.A. Tours	
Izaak Jan le Cosquino de Bussy	Utrecht
J.B.C. Adriaensen	Brussel
Jacob Samuel Speyer	Amsterdam
W.L. Penning	Schiedam
R.A. Kollewijn	Amersfoort
N.P. van den Berg	
Johanna A. Wolters	
C.C. Uhlenbeck	
G.J. Boekenoogen	Wormerveer
L.W.C. van den Berg	Haarlem
A.J. Immink	
P.J. Blok	Den Helder
Leo Simons	Den Haag
H. J. Eymael	Heerlen
G.H. Priem	
S.J. Warren	
K.O. Meinsma	Deventer
J.H. Groenewegen	
J.F. van Bemmelen	Groningen
Leopold	Leiden
A.J. Bothenius Brouwer	Veendam
J.G. Gleichman	Rotterdam
Hendrik Barend Greven	Rotterdam
Bernhard van Meurs	Nijmegen
Wolfgang Brandt	
Jan Frederik Niermeyer	
Salomon Müller	
R.C. Boer	Warnsveld
Willem Frederik Andriessen	Den Ilp
Herman Heijermans	Rotterdam
C.A.J.A. Oudemans	
L. Knappert	Harlingen
Edward B. Koster	Londen
Marie Snijder van Wissenkerke	
Arnoldus Nicolaas Jacobus Fabius	Goor
M. Straub	
Samuel Kalff	
J.P. Moltzer	
